ds,yhat,yhat_lower,yhat_upper,Equipo
2023-09-01,490.2997136945966,478.02516596452557,503.4060767817478,Price_Equipo1
2023-09-02,480.4906477932612,467.08079145033395,495.0965364226752,Price_Equipo1
2023-09-03,480.4124834546941,466.15124144362824,493.73379546593236,Price_Equipo1
2023-09-04,490.6705026126238,477.42575089012456,504.3997995546088,Price_Equipo1
2023-09-05,490.2363773083035,477.271211078777,503.89664050505775,Price_Equipo1
2023-09-06,489.77367361600574,476.52026025121665,503.82327307234846,Price_Equipo1
2023-09-07,489.6172799941306,476.4309540544662,503.0478938930665,Price_Equipo1
2023-09-08,489.53406552374514,474.7697427877272,502.5266267815533,Price_Equipo1
2023-09-09,479.60513703996696,466.8214784658272,493.5120946828594,Price_Equipo1
2023-09-10,479.3815450606492,465.9566916209931,493.2479129820794,Price_Equipo1
2023-09-11,489.47151736348576,475.03269783354136,502.31190608083614,Price_Equipo1
2023-09-12,488.8500058296978,476.1685839935245,501.375467905338,Price_Equipo1
2023-09-13,488.1840886940644,474.9367415445041,503.16974307744954,Price_Equipo1
2023-09-14,487.81229589292235,474.0641515878657,500.1760069629833,Price_Equipo1
2023-09-15,487.5051659447998,472.99909145866053,501.2326858056193,Price_Equipo1
2023-09-16,477.3474061980356,463.7609203571959,489.9271287657993,Price_Equipo1
2023-09-17,476.89350895280097,463.2049111156671,490.0563079486017,Price_Equipo1
2023-09-18,486.75490461804935,474.6132901108703,501.4468153739682,Price_Equipo1
2023-09-19,485.90943947417475,471.62408144446493,499.56600910570364,Price_Equipo1
2023-09-20,485.0267217333638,472.4305206710621,498.7889126844186,Price_Equipo1
2023-09-21,484.44740470150873,471.8868059823224,498.535375407524,Price_Equipo1
2023-09-22,483.9437161318819,469.21149455888025,498.0407690272573,Price_Equipo1
2023-09-23,473.60160579371836,460.7428951217497,486.40744998341455,Price_Equipo1
2023-09-24,472.97636349551925,459.07284987271777,486.32172258166673,Price_Equipo1
2023-09-25,482.6797880177329,468.1120201963794,496.276929736378,Price_Equipo1
2023-09-26,481.68969341944165,467.7612424408467,495.5266130263687,Price_Equipo1
2023-09-27,480.6752949456146,467.82196069955506,494.16894264960996,Price_Equipo1
2023-09-28,479.9765415732288,466.5204284333636,492.74964520679674,Price_Equipo1
2023-09-29,479.36470228181395,466.4990259334347,492.86640720688376,Price_Equipo1
2023-09-30,468.92457589830434,456.0687644079418,482.5813698054147,Price_Equipo1
2023-10-01,468.21017448594637,454.55297033787394,481.9470510123961,Price_Equipo1
2023-10-02,477.83195844102426,464.84879423260804,491.8829398039571,Price_Equipo1
2023-10-03,476.7664075211923,463.1459315522434,489.54101649188675,Price_Equipo1
2023-10-04,475.6814679132117,462.8176315689428,489.3064177095276,Price_Equipo1
2023-10-05,474.9159404450752,461.37364440087293,487.51803774917937,Price_Equipo1
2023-10-06,474.24011533784585,460.1342471078006,487.8003865003018,Price_Equipo1
2023-10-07,463.7380219480581,450.25318663024404,476.87115549178975,Price_Equipo1
2023-10-08,462.9631424005002,449.5648514460441,476.6267715751344,Price_Equipo1
2023-10-09,472.52566656086384,459.0766088959896,486.0621942458535,Price_Equipo1
2023-10-10,471.40207222781623,457.74768206622224,484.407074637718,Price_Equipo1
2023-10-11,470.26057068057037,456.87916424047154,484.24303957718405,Price_Equipo1
2023-10-12,469.44048307744725,456.0822630250907,483.0342808181523,Price_Equipo1
2023-10-13,468.71285383212273,455.3586761188802,482.54156699669073,Price_Equipo1
2023-10-14,458.1626704582646,445.5255369301213,471.61252234455964,Price_Equipo1
2023-10-15,457.3445400896658,444.7489776372507,471.295994150295,Price_Equipo1
2023-10-16,466.86990164770486,452.6239163688198,479.9785267459584,Price_Equipo1
2023-10-17,465.7165592213044,452.18639124845737,479.3687976422701,Price_Equipo1
2023-10-18,464.554078578564,450.75753017057303,478.3106345208467,Price_Equipo1
2023-10-19,463.72311412758177,450.2318931008556,477.3390276085414,Price_Equipo1
2023-10-20,462.9959742485851,450.7049718578235,475.5529605269724,Price_Equipo1
2023-10-21,452.4587961961117,439.0178061460658,466.2964897667329,Price_Equipo1
2023-10-22,451.66718234187886,438.5091126366463,463.8615626174644,Price_Equipo1
2023-10-23,461.23337809696073,447.035459291687,473.8753069117551,Price_Equipo1
2023-10-24,460.13577820386473,446.08552621774703,473.7158654926402,Price_Equipo1
2023-10-25,459.04430416694595,445.45244714276214,471.7497621365684,Price_Equipo1
2023-10-26,458.29972068446193,444.8702820399088,472.06338806033864,Price_Equipo1
2023-10-27,457.6741992325327,444.50568375711737,471.51339823121083,Price_Equipo1
2023-10-28,447.2534999057852,435.46601246701744,460.99931000892894,Price_Equipo1
2023-10-29,446.59262287566685,432.4654908279898,460.6400653256867,Price_Equipo1
2023-10-30,456.3030090977845,441.60722247464327,470.2498437920258,Price_Equipo1
2023-10-31,455.3620759821579,440.8039935836624,469.2001172519273,Price_Equipo1
2023-11-01,454.43862958424364,440.93483674356133,468.2079479265776,Price_Equipo1
2023-11-02,453.8722197822733,439.97720996291434,467.65473805184206,Price_Equipo1
2023-11-03,453.4337450558105,438.5164362690153,466.93718471821137,Price_Equipo1
2023-11-04,443.2076763540844,429.2300315079381,457.153639842294,Price_Equipo1
2023-11-05,442.74774977507315,429.8155734096773,455.0738158984421,Price_Equipo1
